CustomerID,response,n_comp,loyalty,nps,n_communications,total_sales,unique_products,number_of_invoices,purchase_days,cancelled_invoices,cancellation_value,net_sales,average_order_value,total_invoice_activity,cancellation_rate,nps_category,has_cancellation
12838,0,4,0,4.0,6,281.16,58,1,1,0,0.0,281.16,281.16,1,0.0,Detractor,0
12839,0,4,0,4.0,7,4853.97,87,12,12,2,7.8,4846.17,404.4975,14,0.14285714285714285,Detractor,1
12840,1,2,0,8.0,4,2726.77,67,4,4,2,12.5,2714.27,681.6925,6,0.3333333333333333,Passive,1
12841,0,2,1,2.0,2,3485.59,208,23,22,1,145.95,3339.64,151.54739130434783,24,0.041666666666666664,Detractor,1
12842,1,3,1,4.0,7,1118.99,34,2,2,0,0.0,1118.99,559.495,2,0.0,Detractor,0
12843,1,2,0,7.0,8,1702.26,69,8,8,1,21.500000000000004,1680.76,212.7825,9,0.1111111111111111,Passive,1
12844,1,4,0,,6,325.96000000000004,47,2,2,0,0.0,325.96000000000004,162.98000000000002,2,0.0,,0
12845,0,3,1,3.0,5,354.09,26,4,4,0,0.0,354.09,88.5225,4,0.0,Detractor,0
12847,1,3,0,7.0,6,843.64,72,1,1,0,0.0,843.64,843.64,1,0.0,Passive,0
12849,1,3,1,1.0,6,1010.29,47,2,2,0,0.0,1010.29,505.145,2,0.0,Detractor,0
12851,1,1,1,4.0,2,131.81,43,1,1,0,0.0,131.81,131.81,1,0.0,Detractor,0
12852,0,2,1,5.0,8,311.55,17,1,1,1,11.8,299.75,311.55,2,0.5,Detractor,1
12853,1,3,1,10.0,4,1957.1000000000001,66,6,3,3,75.4,1881.7,326.18333333333334,9,0.3333333333333333,Promoter,1
12854,0,2,0,5.0,3,1316.25,95,3,3,2,35.35,1280.9,438.75,5,0.4,Detractor,1
12856,0,0,0,3.0,4,2170.78,155,6,6,2,17.25,2153.53,361.7966666666667,8,0.25,Detractor,1
12857,0,1,0,4.0,2,1106.4,37,2,2,0,0.0,1106.4,553.2,2,0.0,Detractor,0
12863,0,4,0,6.0,6,521.2,5,1,1,1,17.0,504.2,521.2,2,0.5,Detractor,1
12864,1,2,1,10.0,9,147.12,3,1,1,0,0.0,147.12,147.12,1,0.0,Promoter,0
12867,1,0,0,3.0,4,3646.55,219,6,6,2,42.35000000000001,3604.2,607.7583333333333,8,0.25,Detractor,1
12868,1,3,0,10.0,4,1403.76,62,5,5,0,0.0,1403.76,280.752,5,0.0,Promoter,0
12871,1,0,1,2.0,6,380.64,8,2,2,0,0.0,380.64,190.32,2,0.0,Detractor,0
12872,0,4,0,0.0,3,221.44,28,1,1,0,0.0,221.44,221.44,1,0.0,Detractor,0
12873,1,4,1,3.0,6,374.0,4,1,1,0,0.0,374.0,374.0,1,0.0,Detractor,0
12875,0,4,0,2.0,5,49.470000000000006,1,1,1,0,0.0,49.470000000000006,49.470000000000006,1,0.0,Detractor,0
12877,0,0,1,7.0,5,1385.71,94,11,11,0,0.0,1385.71,125.97363636363637,11,0.0,Passive,0
12878,0,3,0,1.0,4,854.99,38,2,2,1,13.35,841.64,427.495,3,0.3333333333333333,Detractor,1
12879,0,3,1,7.0,9,573.22,7,3,3,1,20.650000000000002,552.5699999999999,191.07333333333335,4,0.25,Passive,1
12881,0,5,0,1.0,2,298.0,7,1,1,0,0.0,298.0,298.0,1,0.0,Detractor,0
12882,0,5,1,6.0,6,1463.04,12,2,2,0,0.0,1463.04,731.52,2,0.0,Detractor,0
12883,1,0,1,7.0,5,703.47,39,4,2,0,0.0,703.47,175.8675,4,0.0,Passive,0
12884,1,2,1,1.0,8,309.05,7,1,1,0,0.0,309.05,309.05,1,0.0,Detractor,0
12885,1,2,1,3.0,8,1175.22,66,3,2,1,16.95,1158.27,391.74,4,0.25,Detractor,1
12886,1,3,1,7.0,6,1378.4,75,2,2,1,27.310000000000002,1351.09,689.2,3,0.3333333333333333,Passive,1
12888,1,4,1,2.0,7,354.12,4,2,2,2,40.349999999999994,313.77,177.06,4,0.5,Detractor,1
12890,1,2,1,2.0,8,376.71999999999997,78,1,1,0,0.0,376.71999999999997,376.71999999999997,1,0.0,Detractor,0
12891,1,0,0,2.0,5,331.0,2,3,3,0,0.0,331.0,110.33333333333333,3,0.0,Detractor,0
12893,1,1,1,3.0,9,176.55,27,1,1,0,0.0,176.55,176.55,1,0.0,Detractor,0
12895,0,4,1,1.0,6,372.8,22,2,2,1,25.5,347.3,186.4,3,0.3333333333333333,Detractor,1
12897,0,1,1,5.0,4,216.5,3,2,2,0,0.0,216.5,108.25,2,0.0,Detractor,0
12901,0,2,1,4.0,4,17654.54,30,28,23,8,1361.44,16293.1,630.5192857142857,36,0.2222222222222222,Detractor,1
12902,0,3,1,1.0,4,138.68,10,1,1,0,0.0,138.68,138.68,1,0.0,Detractor,0
12904,0,2,1,1.0,3,496.06,59,2,2,0,0.0,496.06,248.03,2,0.0,Detractor,0
12906,0,0,1,6.0,7,2919.81,55,5,2,0,0.0,2919.81,583.962,5,0.0,Detractor,0
12908,1,1,1,10.0,5,750.0,1,2,2,2,504.0,246.0,375.0,4,0.5,Promoter,1
12909,0,3,1,4.0,7,2178.67,78,5,4,3,49.84,2128.83,435.73400000000004,8,0.375,Detractor,1
12910,0,4,1,1.0,5,3075.04,48,8,6,0,0.0,3075.04,384.38,8,0.0,Detractor,0
12912,0,2,0,3.0,2,1662.3,17,5,5,0,0.0,1662.3,332.46,5,0.0,Detractor,0
12913,1,5,0,6.0,3,2066.01,36,4,4,0,0.0,2066.01,516.5025,4,0.0,Detractor,0
12915,1,2,1,8.0,3,164.0,9,1,1,0,0.0,164.0,164.0,1,0.0,Passive,0
12916,1,5,0,6.0,2,2944.95,53,4,4,1,23.799999999999997,2921.15,736.2375,5,0.2,Detractor,1
12917,0,2,1,8.0,8,594.0,2,1,1,0,0.0,594.0,594.0,1,0.0,Passive,0
12919,0,1,0,4.0,5,1335.19,34,6,6,2,33.75,1301.44,222.53166666666667,8,0.25,Detractor,1
12920,1,1,1,6.0,5,162.78,27,1,1,0,0.0,162.78,162.78,1,0.0,Detractor,0
12921,0,5,1,8.0,6,15899.29,227,35,21,13,197.35000000000005,15701.94,454.2654285714286,48,0.2708333333333333,Passive,1
12922,0,2,1,8.0,9,405.38,28,1,1,0,0.0,405.38,405.38,1,0.0,Passive,0
12923,1,1,1,8.0,8,172.82,28,1,1,0,0.0,172.82,172.82,1,0.0,Passive,0
12924,1,0,1,7.0,7,933.7,22,4,4,1,3.75,929.95,233.425,5,0.2,Passive,1
12925,1,2,1,8.0,8,694.05,42,2,2,0,0.0,694.05,347.025,2,0.0,Passive,0
12928,1,2,0,5.0,6,1670.3600000000001,47,4,4,0,0.0,1670.3600000000001,417.59000000000003,4,0.0,Detractor,0
12929,0,2,0,3.0,9,117.85,8,1,1,1,12.75,105.1,117.85,2,0.5,Detractor,1
12930,0,2,0,1.0,6,415.8,20,2,2,2,5.9,409.9,207.9,4,0.5,Detractor,1
12931,0,5,0,0.0,5,41878.96,28,13,11,5,8593.150000000001,33285.81,3221.4584615384615,18,0.2777777777777778,Detractor,1
12933,1,2,0,1.0,4,607.53,102,3,3,1,1.25,606.28,202.51,4,0.25,Detractor,1
12935,1,1,1,8.0,7,2160.7,80,7,6,1,4.25,2156.45,308.6714285714285,8,0.125,Passive,1
12936,0,3,1,6.0,3,1063.9,56,4,3,1,51.0,1012.9,265.975,5,0.2,Detractor,1
12937,1,4,1,3.0,8,1504.27,81,4,4,0,0.0,1504.27,376.0675,4,0.0,Detractor,0
12938,1,2,1,3.0,6,114.14,9,1,1,0,0.0,114.14,114.14,1,0.0,Detractor,0
12939,1,4,1,10.0,7,11581.8,21,8,6,0,0.0,11581.8,1447.725,8,0.0,Promoter,0
12940,1,3,1,10.0,7,899.69,87,2,2,2,37.25,862.44,449.845,4,0.5,Promoter,1
12942,1,5,1,8.0,6,416.85,54,2,2,0,0.0,416.85,208.425,2,0.0,Passive,0
12943,1,5,0,8.0,8,0.0,0,0,0,1,3.75,-3.75,0.0,1,1.0,Passive,1
12944,0,5,1,3.0,2,317.56,16,1,1,0,0.0,317.56,317.56,1,0.0,Detractor,0
12945,1,3,0,0.0,3,462.95,23,1,1,0,0.0,462.95,462.95,1,0.0,Detractor,0
12947,1,3,0,9.0,7,1299.95,68,5,5,4,166.84999999999997,1133.1,259.99,9,0.4444444444444444,Promoter,1
12948,0,3,1,2.0,5,2064.95,82,7,7,1,11.25,2053.7,294.99285714285713,8,0.125,Detractor,1
12949,0,3,1,6.0,2,4167.22,166,8,5,2,24.2,4143.02,520.9025,10,0.2,Detractor,1
12950,1,5,0,3.0,4,1843.0,13,3,3,0,0.0,1843.0,614.3333333333334,3,0.0,Detractor,0
12951,0,5,0,5.0,3,1064.07,53,6,6,2,22.0,1042.07,177.345,8,0.25,Detractor,1
12952,0,0,1,1.0,8,1387.79,64,4,3,1,4.95,1382.8400000000001,346.9475,5,0.2,Detractor,1
12953,0,2,0,6.0,7,329.85,17,1,1,0,0.0,329.85,329.85,1,0.0,Detractor,0
12955,0,1,1,8.0,6,4757.16,81,11,11,3,22.9,4734.26,432.4690909090909,14,0.21428571428571427,Passive,1
12956,1,1,0,10.0,2,108.07,19,1,1,0,0.0,108.07,108.07,1,0.0,Promoter,0
12957,0,4,1,3.0,8,4017.54,208,8,7,4,38.5,3979.04,502.1925,12,0.3333333333333333,Detractor,1
12962,0,0,1,6.0,3,266.39,15,2,2,0,0.0,266.39,133.195,2,0.0,Detractor,0
12963,0,5,1,6.0,7,1490.83,64,7,6,1,15.6,1475.23,212.97571428571428,8,0.125,Detractor,1
12965,0,4,1,1.0,6,769.8100000000001,108,1,1,0,0.0,769.8100000000001,769.8100000000001,1,0.0,Detractor,0
12966,0,4,0,8.0,6,160.18,10,1,1,0,0.0,160.18,160.18,1,0.0,Passive,0
12967,0,1,1,7.0,6,0.0,0,0,0,2,466.15000000000003,-466.15,0.0,2,1.0,Passive,1
12968,0,2,0,2.0,2,135.95,5,1,1,0,0.0,135.95,135.95,1,0.0,Detractor,0
12970,0,4,0,5.0,8,405.47,116,4,2,0,0.0,405.47,101.3675,4,0.0,Detractor,0
12971,0,5,0,7.0,6,10753.72,88,81,66,1,220.15,10533.57,132.76197530864198,82,0.012195121951219513,Passive,1
12974,1,4,1,8.0,5,144.8,8,1,1,0,0.0,144.8,144.8,1,0.0,Passive,0
12976,1,4,0,5.0,5,738.6,22,1,1,0,0.0,738.6,738.6,1,0.0,Detractor,0
12977,1,3,1,2.0,5,39.239999999999995,9,1,1,0,0.0,39.239999999999995,39.239999999999995,1,0.0,Detractor,0
12980,1,4,0,6.0,9,6485.58,5,8,8,2,213.09000000000003,6272.49,810.6975,10,0.2,Detractor,1
12981,0,0,1,3.0,8,372.21999999999997,12,2,2,0,0.0,372.21999999999997,186.10999999999999,2,0.0,Detractor,0
12982,0,1,0,3.0,4,390.54,28,1,1,1,13.34,377.2,390.54,2,0.5,Detractor,1
12984,1,5,1,5.0,7,97.5,4,1,1,0,0.0,97.5,97.5,1,0.0,Detractor,0
12985,0,3,0,5.0,3,1239.38,73,2,2,1,23.759999999999998,1215.6200000000001,619.69,3,0.3333333333333333,Detractor,1
12987,1,1,1,9.0,4,558.7,27,2,2,1,13.7,545.0,279.35,3,0.3333333333333333,Promoter,1
12988,0,4,0,5.0,3,505.82,75,1,1,0,0.0,505.82,505.82,1,0.0,Detractor,0
12989,0,3,1,3.0,4,6721.610000000001,41,14,12,4,69.6,6652.01,480.11500000000007,18,0.2222222222222222,Detractor,1
12990,0,4,1,0.0,7,409.5,8,3,3,0,0.0,409.5,136.5,3,0.0,Detractor,0
12991,1,3,1,3.0,5,503.76,31,2,2,0,0.0,503.76,251.88,2,0.0,Detractor,0
12993,0,4,1,7.0,3,414.76,26,4,4,0,0.0,414.76,103.69,4,0.0,Passive,0
12994,1,3,0,2.0,6,974.4200000000001,52,3,3,2,72.2,902.22,324.8066666666667,5,0.4,Detractor,1
12995,0,3,1,4.0,3,211.32,3,1,1,1,10.6,200.72,211.32,2,0.5,Detractor,1
12997,0,1,1,7.0,5,1226.89,45,4,4,3,28.950000000000003,1197.94,306.7225,7,0.42857142857142855,Passive,1
12999,1,4,0,4.0,4,455.88,25,3,3,0,0.0,455.88,151.96,3,0.0,Detractor,0
13000,0,1,1,2.0,4,333.1,20,2,2,0,0.0,333.1,166.55,2,0.0,Detractor,0
13001,0,1,1,5.0,2,9785.970000000001,166,13,13,2,20.9,9765.07,752.7669230769231,15,0.13333333333333333,Detractor,1
13002,0,3,1,8.0,5,120.94999999999999,7,1,1,0,0.0,120.94999999999999,120.94999999999999,1,0.0,Passive,0
13003,0,4,0,1.0,5,149.05,4,3,3,0,0.0,149.05,49.68333333333334,3,0.0,Detractor,0
13004,0,3,0,4.0,4,5298.9,266,17,16,4,42.480000000000004,5256.42,311.7,21,0.19047619047619047,Detractor,1
13005,0,1,0,8.0,5,513.7,21,2,2,1,44.75,468.95,256.85,3,0.3333333333333333,Passive,1
13006,0,5,1,5.0,2,81.57,4,1,1,0,0.0,81.57,81.57,1,0.0,Detractor,0
13008,1,2,1,7.0,4,229.46999999999997,14,1,1,0,0.0,229.46999999999997,229.46999999999997,1,0.0,Passive,0
13012,0,0,0,6.0,9,1646.8400000000001,67,8,8,3,350.22,1296.6200000000001,205.85500000000002,11,0.2727272727272727,Detractor,1
13013,1,4,1,3.0,3,3282.6,109,11,11,2,23.95,3258.65,298.41818181818184,13,0.15384615384615385,Detractor,1
13014,1,0,1,9.0,6,3466.2799999999997,67,10,10,6,100.85000000000001,3365.43,346.628,16,0.375,Promoter,1
13015,1,4,0,10.0,5,3339.64,156,5,4,0,0.0,3339.64,667.928,5,0.0,Promoter,0
13016,1,1,0,5.0,7,789.89,39,3,2,0,0.0,789.89,263.2966666666667,3,0.0,Detractor,0
13017,0,2,0,5.0,5,204.0,1,1,1,0,0.0,204.0,204.0,1,0.0,Detractor,0
13018,1,2,1,5.0,5,7277.7,313,28,20,1,4.95,7272.75,259.91785714285714,29,0.034482758620689655,Detractor,1
13021,0,2,1,2.0,2,2459.03,100,8,7,2,11.7,2447.33,307.37875,10,0.2,Detractor,1
13023,0,5,0,5.0,9,689.9,36,2,2,0,0.0,689.9,344.95,2,0.0,Detractor,0
13026,1,2,1,6.0,6,975.36,32,5,5,3,39.21,936.15,195.072,8,0.375,Detractor,1
13027,0,1,0,2.0,3,5472.0,6,5,5,0,0.0,5472.0,1094.4,5,0.0,Detractor,0
13028,0,0,0,5.0,6,661.3199999999999,40,2,2,1,1.6400000000000001,659.68,330.65999999999997,3,0.3333333333333333,Detractor,1
13029,0,4,0,8.0,8,865.0,8,2,2,0,0.0,865.0,432.5,2,0.0,Passive,0
13030,1,4,1,9.0,6,350.08,28,1,1,0,0.0,350.08,350.08,1,0.0,Promoter,0
13032,1,2,1,7.0,8,1010.18,55,2,2,1,13.66,996.52,505.09,3,0.3333333333333333,Passive,1
13034,0,0,0,2.0,2,476.90999999999997,26,1,1,0,0.0,476.90999999999997,476.90999999999997,1,0.0,Detractor,0
13035,0,0,0,2.0,2,921.88,23,2,2,1,35.25,886.63,460.94,3,0.3333333333333333,Detractor,1
13037,0,3,0,2.0,3,881.07,44,3,3,0,0.0,881.07,293.69,3,0.0,Detractor,0
13038,0,1,0,3.0,4,908.46,24,3,3,0,0.0,908.46,302.82,3,0.0,Detractor,0
13040,1,0,0,8.0,8,676.99,38,2,2,0,0.0,676.99,338.495,2,0.0,Passive,0
13043,1,4,0,8.0,6,516.42,13,1,1,1,44.849999999999994,471.57,516.42,2,0.5,Passive,1
13044,1,4,1,9.0,5,560.47,33,1,1,0,0.0,560.47,560.47,1,0.0,Promoter,0
13045,0,3,0,8.0,3,305.28000000000003,18,1,1,0,0.0,305.28000000000003,305.28000000000003,1,0.0,Passive,0
13046,0,4,0,2.0,6,629.31,33,2,2,0,0.0,629.31,314.655,2,0.0,Detractor,0
13047,0,0,1,6.0,7,2870.91,100,7,7,8,158.44,2712.4700000000003,410.13,15,0.5333333333333333,Detractor,1
13048,0,0,0,7.0,8,1819.41,77,4,4,1,30.0,1789.41,454.8525,5,0.2,Passive,1
13049,1,4,0,5.0,5,656.6800000000001,14,2,2,0,0.0,656.6800000000001,328.34000000000003,2,0.0,Detractor,0
13050,0,3,0,5.0,5,4636.99,216,13,13,9,132.45,4504.54,356.69153846153847,22,0.4090909090909091,Detractor,1
13052,1,1,1,3.0,2,348.15000000000003,18,1,1,0,0.0,348.15000000000003,348.15000000000003,1,0.0,Detractor,0
13055,0,3,1,5.0,5,1214.41,74,3,2,1,12.450000000000001,1201.96,404.80333333333334,4,0.25,Detractor,1
13058,0,3,0,4.0,8,271.40000000000003,5,3,3,0,0.0,271.40000000000003,90.46666666666668,3,0.0,Detractor,0
13059,1,2,0,9.0,5,183.4,8,1,1,0,0.0,183.4,183.4,1,0.0,Promoter,0
13060,0,3,1,1.0,4,307.53,15,1,1,0,0.0,307.53,307.53,1,0.0,Detractor,0
13061,0,3,0,3.0,3,248.61,10,1,1,0,0.0,248.61,248.61,1,0.0,Detractor,0
13062,1,3,1,6.0,4,346.98,11,1,1,0,0.0,346.98,346.98,1,0.0,Detractor,0
13064,0,5,1,1.0,3,1105.59,51,4,4,0,0.0,1105.59,276.3975,4,0.0,Detractor,0
13066,0,4,1,1.0,5,470.8,48,2,2,1,39.9,430.9,235.4,3,0.3333333333333333,Detractor,1
13067,0,1,1,2.0,2,115.46000000000001,14,1,1,0,0.0,115.46000000000001,115.46000000000001,1,0.0,Detractor,0
13068,1,0,0,6.0,4,344.0,1,2,2,0,0.0,344.0,172.0,2,0.0,Detractor,0
13069,1,3,1,6.0,6,3787.32,214,20,18,3,718.3000000000002,3069.02,189.366,23,0.13043478260869565,Detractor,1
13070,0,4,1,8.0,8,228.8,9,1,1,0,0.0,228.8,228.8,1,0.0,Passive,0
13072,1,3,0,8.0,8,177.15,7,1,1,0,0.0,177.15,177.15,1,0.0,Passive,0
13075,0,2,1,2.0,6,919.61,22,1,1,0,0.0,919.61,919.61,1,0.0,Detractor,0
13077,0,3,1,8.0,7,414.3,87,3,2,0,0.0,414.3,138.1,3,0.0,Passive,0
13078,1,1,1,0.0,7,11746.78,93,24,23,15,187.75999999999996,11559.02,489.4491666666667,39,0.38461538461538464,Detractor,1
13079,0,1,0,2.0,6,220.10000000000002,2,5,5,0,0.0,220.10000000000002,44.02,5,0.0,Detractor,0
13080,0,3,1,3.0,8,58.08,6,1,1,0,0.0,58.08,58.08,1,0.0,Detractor,0
13081,1,0,0,4.0,7,25970.6,482,9,8,10,372.9,25597.7,2885.6222222222223,19,0.5263157894736842,Detractor,1
13082,0,1,1,5.0,8,3613.63,63,9,7,1,18.15,3595.48,401.51444444444445,10,0.1,Detractor,1
13083,0,5,0,5.0,5,303.75,15,2,2,0,0.0,303.75,151.875,2,0.0,Detractor,0
13085,0,3,0,0.0,3,416.08000000000004,17,2,2,1,143.7,272.38,208.04000000000002,3,0.3333333333333333,Detractor,1
13089,0,4,1,6.0,3,52808.87,623,89,61,19,1319.95,51488.92,593.3580898876405,108,0.17592592592592593,Detractor,1
13090,0,1,0,2.0,3,7902.42,97,11,11,4,221.43000000000004,7680.99,718.4018181818182,15,0.26666666666666666,Detractor,1
13091,0,3,1,0.0,8,345.82,21,1,1,1,26.0,319.82,345.82,2,0.5,Detractor,1
13092,0,4,1,6.0,4,292.38,16,4,4,1,18.0,274.38,73.095,5,0.2,Detractor,1
13093,0,3,0,3.0,4,4036.96,83,5,5,5,91.0,3945.96,807.392,10,0.5,Detractor,1
13094,0,5,0,2.0,4,1703.64,4,11,11,4,218.46000000000004,1485.18,154.87636363636364,15,0.26666666666666666,Detractor,1
13095,0,4,1,6.0,3,74.39999999999999,6,1,1,0,0.0,74.39999999999999,74.39999999999999,1,0.0,Detractor,0
13097,0,1,0,8.0,4,5698.32,211,9,8,4,117.10000000000001,5581.22,633.1466666666666,13,0.3076923076923077,Passive,1
13098,0,4,1,7.0,5,28882.44,156,28,26,13,223.56,28658.88,1031.5157142857142,41,0.3170731707317073,Passive,1
13099,1,2,0,9.0,2,207.35999999999999,1,1,1,0,0.0,207.35999999999999,207.35999999999999,1,0.0,Promoter,0
13101,1,2,1,5.0,2,101.19,8,1,1,0,0.0,101.19,101.19,1,0.0,Detractor,0
13102,1,1,1,0.0,8,5750.17,133,22,18,3,87.8,5662.37,261.37136363636364,25,0.12,Detractor,1
13103,0,3,1,5.0,5,243.94,8,1,1,0,0.0,243.94,243.94,1,0.0,Detractor,0
13104,1,3,1,5.0,5,996.72,13,5,5,0,0.0,996.72,199.344,5,0.0,Detractor,0
13106,1,2,0,8.0,4,76.5,1,1,1,1,17.0,59.5,76.5,2,0.5,Passive,1
13107,1,3,1,2.0,8,1531.6200000000001,54,4,4,1,7.550000000000001,1524.07,382.90500000000003,5,0.2,Detractor,1
13109,1,4,1,6.0,5,786.54,41,2,2,3,19.700000000000003,766.84,393.27,5,0.6,Detractor,1
13110,1,4,1,1.0,2,1488.67,109,7,6,1,35.8,1452.8700000000001,212.66714285714286,8,0.125,Detractor,1
13113,0,4,1,2.0,7,11872.99,92,23,22,15,1704.11,10168.880000000001,516.2169565217391,38,0.39473684210526316,Detractor,1
13115,0,3,0,4.0,3,2294.78,88,4,4,9,84.15,2210.63,573.695,13,0.6923076923076923,Detractor,1
13116,1,3,1,3.0,6,501.14,30,1,1,1,15.95,485.19,501.14,2,0.5,Detractor,1
13117,1,4,0,9.0,3,596.76,46,6,6,0,0.0,596.76,99.46,6,0.0,Promoter,0
13118,0,1,0,4.0,3,1197.81,68,5,4,2,72.81,1125.0,239.56199999999998,7,0.2857142857142857,Detractor,1
13120,1,4,1,9.0,8,30.599999999999998,1,1,1,0,0.0,30.599999999999998,30.599999999999998,1,0.0,Promoter,0
13121,0,3,0,4.0,5,283.73,50,1,1,1,29.0,254.73,283.73,2,0.5,Detractor,1
13122,1,2,0,1.0,7,922.39,54,2,2,0,0.0,922.39,461.195,2,0.0,Detractor,0
13124,1,3,1,6.0,7,2500.01,146,2,2,0,0.0,2500.01,1250.005,2,0.0,Detractor,0
13126,0,1,1,5.0,8,1876.2,117,6,6,2,43.349999999999994,1832.85,312.7,8,0.25,Detractor,1
13127,1,3,1,2.0,6,259.17,15,1,1,0,0.0,259.17,259.17,1,0.0,Detractor,0
13130,1,5,0,3.0,3,64.0,2,1,1,0,0.0,64.0,64.0,1,0.0,Detractor,0
13131,1,3,1,4.0,6,1073.3,30,3,3,1,34.0,1039.3,357.76666666666665,4,0.25,Detractor,1
13132,1,2,0,8.0,8,77.3,3,1,1,0,0.0,77.3,77.3,1,0.0,Passive,0
13133,0,3,0,6.0,5,109.8,7,2,2,0,0.0,109.8,54.9,2,0.0,Detractor,0
13134,1,4,1,8.0,4,1793.58,94,4,4,3,52.95,1740.63,448.395,7,0.42857142857142855,Passive,1
13135,0,2,1,3.0,8,3096.0,1,1,1,0,0.0,3096.0,3096.0,1,0.0,Detractor,0
13136,0,3,0,3.0,2,2607.61,94,5,4,5,42.13000000000001,2565.48,521.522,10,0.5,Detractor,1
13137,0,3,1,7.0,4,3603.29,345,8,8,1,45.33,3557.96,450.41125,9,0.1111111111111111,Passive,1
13138,1,1,1,10.0,9,769.16,24,5,5,0,0.0,769.16,153.832,5,0.0,Promoter,0
13139,1,2,0,8.0,5,5064.94,132,7,6,1,9.15,5055.79,723.5628571428571,8,0.125,Passive,1
13140,0,5,0,6.0,2,264.21,26,2,2,0,0.0,264.21,132.105,2,0.0,Detractor,0
13141,0,3,1,7.0,6,2388.75,113,5,4,1,2.95,2385.8,477.75,6,0.16666666666666666,Passive,1
13142,0,3,1,7.0,2,307.09,23,1,1,0,0.0,307.09,307.09,1,0.0,Passive,0
13144,0,4,1,4.0,4,110.95,3,1,1,0,0.0,110.95,110.95,1,0.0,Detractor,0
13145,0,0,0,0.0,9,323.52000000000004,4,3,3,1,3.75,319.77000000000004,107.84000000000002,4,0.25,Detractor,1
13146,0,3,0,6.0,6,228.91,16,1,1,0,0.0,228.91,228.91,1,0.0,Detractor,0
13147,0,2,0,1.0,7,712.8000000000001,1,4,4,0,0.0,712.8000000000001,178.20000000000002,4,0.0,Detractor,0
13148,0,0,0,3.0,7,3373.86,221,11,6,4,316.59,3057.27,306.7145454545455,15,0.26666666666666666,Detractor,1
13149,0,3,0,4.0,3,1676.06,76,4,4,0,0.0,1676.06,419.015,4,0.0,Detractor,0
13151,0,1,0,1.0,5,1257.8700000000001,73,1,1,1,7.5,1250.3700000000001,1257.8700000000001,2,0.5,Detractor,1
13153,0,3,0,6.0,8,486.22,15,1,1,0,0.0,486.22,486.22,1,0.0,Detractor,0
13154,0,5,0,6.0,7,0.0,0,0,0,1,611.86,-611.86,0.0,1,1.0,Detractor,1
13155,0,5,1,6.0,3,592.06,26,3,3,0,0.0,592.06,197.35333333333332,3,0.0,Detractor,0
13157,0,2,0,8.0,8,1741.22,69,4,4,1,19.65,1721.57,435.305,5,0.2,Passive,1
13158,0,2,0,3.0,5,1201.06,59,4,4,0,0.0,1201.06,300.265,4,0.0,Detractor,0
13159,0,2,0,5.0,3,1429.35,114,4,4,1,58.10000000000001,1371.25,357.3375,5,0.2,Detractor,1
13160,0,2,0,6.0,4,91.8,4,1,1,0,0.0,91.8,91.8,1,0.0,Detractor,0
