CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12937,15,4,1504.27,1,Regular Customers
12938,26,1,114.14,2,Recent / Developing
12939,64,8,11581.8,3,High-Value Customers
12940,55,2,899.69,1,Regular Customers
12942,131,2,416.85,0,Dormant / Low-Value
12944,36,1,317.56,2,Recent / Developing
12945,288,1,462.95,0,Dormant / Low-Value
12947,144,5,1299.95,1,Regular Customers
12948,16,7,2064.95,3,High-Value Customers
12949,31,8,4167.22,3,High-Value Customers
12950,2,3,1843.0,3,High-Value Customers
12951,9,6,1064.07,3,High-Value Customers
12952,6,4,1387.79,1,Regular Customers
12953,10,1,329.85,2,Recent / Developing
12955,1,11,4757.16,3,High-Value Customers
12956,306,1,108.07,0,Dormant / Low-Value
12957,10,8,4017.54,3,High-Value Customers
12962,7,2,266.39,2,Recent / Developing
12963,8,7,1490.83,3,High-Value Customers
12965,89,1,769.8100000000001,0,Dormant / Low-Value
12966,10,1,160.18,2,Recent / Developing
12968,112,1,135.95,0,Dormant / Low-Value
12970,7,4,405.47,2,Recent / Developing
12971,4,81,10753.72,3,High-Value Customers
12974,198,1,144.8,0,Dormant / Low-Value
12976,212,1,738.6,0,Dormant / Low-Value
12977,156,1,39.239999999999995,0,Dormant / Low-Value
12980,158,8,6485.58,1,Regular Customers
12981,30,2,372.21999999999997,2,Recent / Developing
12982,243,1,390.54,0,Dormant / Low-Value
12984,19,1,97.5,2,Recent / Developing
12985,1,2,1239.38,2,Recent / Developing
12987,74,2,558.7,0,Dormant / Low-Value
12988,292,1,505.82,0,Dormant / Low-Value
12989,3,14,6721.61,3,High-Value Customers
12990,31,3,409.5,2,Recent / Developing
12991,23,2,503.76,2,Recent / Developing
12993,23,4,414.76,2,Recent / Developing
12994,4,3,974.42,2,Recent / Developing
12995,85,1,211.32,0,Dormant / Low-Value
12997,22,4,1226.89,1,Regular Customers
12999,196,3,455.88,0,Dormant / Low-Value
13000,107,2,333.1,0,Dormant / Low-Value
13001,4,13,9785.970000000001,3,High-Value Customers
13002,318,1,120.95,0,Dormant / Low-Value
13003,106,3,149.05,0,Dormant / Low-Value
13004,12,17,5298.9,3,High-Value Customers
13005,174,2,513.7,0,Dormant / Low-Value
13006,56,1,81.57,0,Dormant / Low-Value
13008,323,1,229.47,0,Dormant / Low-Value
13012,9,8,1646.8400000000001,3,High-Value Customers
13013,1,11,3282.6,3,High-Value Customers
13014,11,10,3466.28,3,High-Value Customers
13015,53,5,3339.64,1,Regular Customers
13016,73,3,789.89,1,Regular Customers
13017,7,1,204.0,2,Recent / Developing
13018,16,28,7277.7,3,High-Value Customers
13021,4,8,2459.03,3,High-Value Customers
13023,64,2,689.9,1,Regular Customers
13026,1,5,975.36,3,High-Value Customers
13027,114,5,5472.0,1,Regular Customers
13028,23,2,661.3199999999999,2,Recent / Developing
13029,31,2,865.0,1,Regular Customers
13030,11,1,350.08,2,Recent / Developing
13032,52,2,1010.1800000000001,1,Regular Customers
13034,55,1,476.91,0,Dormant / Low-Value
13035,74,2,921.88,1,Regular Customers
13037,138,3,881.07,1,Regular Customers
13038,80,3,908.46,1,Regular Customers
13040,9,2,676.99,2,Recent / Developing
13043,273,1,516.42,0,Dormant / Low-Value
13044,291,1,560.47,0,Dormant / Low-Value
13045,99,1,305.28000000000003,0,Dormant / Low-Value
13046,31,2,629.31,2,Recent / Developing
13047,32,7,2870.91,1,Regular Customers
13048,14,4,1819.41,1,Regular Customers
13049,64,2,656.6800000000001,1,Regular Customers
13050,15,13,4636.99,3,High-Value Customers
13052,212,1,348.15000000000003,0,Dormant / Low-Value
13055,78,3,1214.41,1,Regular Customers
13058,25,3,271.40000000000003,2,Recent / Developing
13059,250,1,183.4,0,Dormant / Low-Value
13060,254,1,307.53000000000003,0,Dormant / Low-Value
13061,72,1,248.61,0,Dormant / Low-Value
13062,191,1,346.98,0,Dormant / Low-Value
13064,13,4,1105.59,1,Regular Customers
13066,24,2,470.8,2,Recent / Developing
13067,82,1,115.46000000000001,0,Dormant / Low-Value
13068,10,2,344.0,2,Recent / Developing
13069,1,20,3787.32,3,High-Value Customers
13070,192,1,228.8,0,Dormant / Low-Value
13072,267,1,177.15,0,Dormant / Low-Value
13075,130,1,919.61,0,Dormant / Low-Value
13077,1,3,414.3,2,Recent / Developing
13078,3,24,11746.78,3,High-Value Customers
13079,4,5,220.10000000000002,2,Recent / Developing
13080,179,1,58.08,0,Dormant / Low-Value
13081,12,9,25970.6,3,High-Value Customers
13082,126,9,3613.63,1,Regular Customers
13083,4,2,303.75,2,Recent / Developing
13085,158,2,416.08,0,Dormant / Low-Value
13089,3,89,52808.87,3,High-Value Customers
13090,9,11,7902.42,3,High-Value Customers
13091,28,1,345.82,2,Recent / Developing
13092,71,4,292.38,1,Regular Customers
13093,276,5,4036.96,1,Regular Customers
13094,21,11,1703.64,3,High-Value Customers
13095,71,1,74.39999999999999,0,Dormant / Low-Value
13097,33,9,5698.32,3,High-Value Customers
13098,1,28,28882.44,3,High-Value Customers
13099,99,1,207.36,0,Dormant / Low-Value
13101,234,1,101.19,0,Dormant / Low-Value
13102,1,22,5750.17,3,High-Value Customers
13103,40,1,243.94,2,Recent / Developing
13104,3,5,996.72,3,High-Value Customers
13106,133,1,76.5,0,Dormant / Low-Value
13107,44,4,1531.6200000000001,1,Regular Customers
13109,60,2,786.54,1,Regular Customers
13110,31,7,1488.67,1,Regular Customers
13113,1,23,11872.99,3,High-Value Customers
13115,12,4,2294.78,1,Regular Customers
13116,138,1,501.14,0,Dormant / Low-Value
13117,22,6,596.76,1,Regular Customers
13118,20,5,1197.81,1,Regular Customers
13120,239,1,30.6,0,Dormant / Low-Value
13121,269,1,283.73,0,Dormant / Low-Value
13122,94,2,922.39,1,Regular Customers
13124,90,2,2500.01,1,Regular Customers
13126,5,6,1876.2,3,High-Value Customers
13127,78,1,259.17,0,Dormant / Low-Value
13130,94,1,64.0,0,Dormant / Low-Value
13131,23,3,1073.3,1,Regular Customers
13132,262,1,77.3,0,Dormant / Low-Value
13133,274,2,109.8,0,Dormant / Low-Value
13134,86,4,1793.58,1,Regular Customers
13135,197,1,3096.0,1,Regular Customers
13136,56,5,2607.61,1,Regular Customers
13137,11,8,3603.29,3,High-Value Customers
13138,22,5,769.16,1,Regular Customers
13139,16,7,5064.9400000000005,3,High-Value Customers
13140,108,2,264.21,0,Dormant / Low-Value
13141,85,5,2388.75,1,Regular Customers
13142,19,1,307.09000000000003,2,Recent / Developing
13144,333,1,110.95,0,Dormant / Low-Value
13145,40,3,323.52,2,Recent / Developing
13146,26,1,228.91,2,Recent / Developing
13147,10,4,712.8,2,Recent / Developing
13148,29,11,3373.86,3,High-Value Customers
13149,14,4,1676.06,1,Regular Customers
13151,296,1,1257.8700000000001,0,Dormant / Low-Value
13153,6,1,486.22,2,Recent / Developing
13155,33,3,592.06,1,Regular Customers
13157,49,4,1741.22,1,Regular Customers
13158,95,4,1201.06,1,Regular Customers
13159,9,4,1429.35,1,Regular Customers
13160,22,1,91.8,2,Recent / Developing
13161,313,1,112.75,0,Dormant / Low-Value
13162,122,4,1688.29,1,Regular Customers
13165,46,1,666.8399999999999,2,Recent / Developing
13166,283,1,417.2,0,Dormant / Low-Value
13167,19,4,791.33,1,Regular Customers
13168,36,4,1299.59,1,Regular Customers
13169,64,2,712.88,1,Regular Customers
13170,27,1,108.81,2,Recent / Developing
13171,22,3,468.41,2,Recent / Developing
13173,4,1,187.71,2,Recent / Developing
13174,16,2,1373.76,1,Regular Customers
13176,46,1,481.49,2,Recent / Developing
13177,65,1,282.45,0,Dormant / Low-Value
13178,26,10,5015.47,3,High-Value Customers
13182,45,1,121.18,0,Dormant / Low-Value
13183,8,9,3957.78,3,High-Value Customers
13184,15,10,1668.95,3,High-Value Customers
13185,268,1,71.4,0,Dormant / Low-Value
13186,40,3,1575.89,1,Regular Customers
13187,337,1,236.02,0,Dormant / Low-Value
13188,11,1,114.6,2,Recent / Developing
13189,19,2,260.68,2,Recent / Developing
13192,95,2,911.94,1,Regular Customers
13193,61,1,112.08,0,Dormant / Low-Value
13194,136,1,60.7,0,Dormant / Low-Value
13196,11,4,1797.78,1,Regular Customers
13198,10,5,3016.69,3,High-Value Customers
13199,4,36,9105.32,3,High-Value Customers
13200,19,4,870.09,1,Regular Customers
13203,10,4,869.46,1,Regular Customers
13207,15,2,250.26000000000002,2,Recent / Developing
13208,59,6,1217.65,1,Regular Customers
13209,30,7,5572.76,3,High-Value Customers
13210,94,1,353.48,0,Dormant / Low-Value
13211,10,2,984.72,2,Recent / Developing
13212,20,3,786.83,1,Regular Customers
13213,57,5,1520.58,1,Regular Customers
13216,268,1,333.74,0,Dormant / Low-Value
13217,122,3,533.98,0,Dormant / Low-Value
13218,127,1,62.64,0,Dormant / Low-Value
13220,78,4,819.2900000000001,1,Regular Customers
13221,240,1,349.25,0,Dormant / Low-Value
13223,200,2,163.2,0,Dormant / Low-Value
13224,60,2,2155.95,1,Regular Customers
13225,3,6,5257.12,3,High-Value Customers
13226,273,1,108.21000000000001,0,Dormant / Low-Value
13227,202,1,257.7,0,Dormant / Low-Value
13228,81,1,358.0,0,Dormant / Low-Value
13229,226,1,160.95,0,Dormant / Low-Value
13230,4,13,2662.18,3,High-Value Customers
13232,13,7,1328.35,3,High-Value Customers
13233,74,2,605.12,0,Dormant / Low-Value
13235,212,1,1031.07,0,Dormant / Low-Value
13236,24,2,744.85,2,Recent / Developing
13238,17,3,609.58,2,Recent / Developing
13239,262,1,329.56,0,Dormant / Low-Value
13240,96,3,439.58,0,Dormant / Low-Value
13242,112,3,270.40000000000003,0,Dormant / Low-Value
13243,203,1,585.12,0,Dormant / Low-Value
13244,93,1,121.74000000000001,0,Dormant / Low-Value
13245,51,1,430.5,0,Dormant / Low-Value
13246,18,6,1961.52,1,Regular Customers
13247,18,4,501.12,2,Recent / Developing
13248,125,2,465.68,0,Dormant / Low-Value
13249,92,3,711.41,1,Regular Customers
13253,157,2,1030.4,1,Regular Customers
13255,9,1,173.81,2,Recent / Developing
13258,12,3,672.83,2,Recent / Developing
13259,62,1,283.18,0,Dormant / Low-Value
13260,61,1,557.62,0,Dormant / Low-Value
13261,269,2,944.1,0,Dormant / Low-Value
13262,263,1,200.29,0,Dormant / Low-Value
13263,1,35,7436.93,3,High-Value Customers
13265,53,5,2092.66,1,Regular Customers
13266,11,12,3834.2599999999998,3,High-Value Customers
13267,3,17,3899.19,3,High-Value Customers
13268,18,11,3174.75,3,High-Value Customers
13269,1,13,4681.11,3,High-Value Customers
13271,37,1,211.49,2,Recent / Developing
13272,31,2,276.56,2,Recent / Developing
13273,113,1,138.98,0,Dormant / Low-Value
13276,64,2,590.9300000000001,1,Regular Customers
13277,16,4,258.4,2,Recent / Developing
13278,41,1,542.73,2,Recent / Developing
13279,78,1,137.75,0,Dormant / Low-Value
13280,122,3,798.46,1,Regular Customers
13282,18,3,1132.14,1,Regular Customers
13283,60,2,93.66,0,Dormant / Low-Value
13284,331,1,201.19,0,Dormant / Low-Value
13285,23,4,2709.12,1,Regular Customers
13291,156,1,361.11,0,Dormant / Low-Value
13292,39,2,578.94,2,Recent / Developing
13294,190,2,873.74,0,Dormant / Low-Value
13296,137,1,87.4,0,Dormant / Low-Value
13297,8,4,2089.85,1,Regular Customers
13298,1,1,360.0,2,Recent / Developing
13299,268,1,142.5,0,Dormant / Low-Value
13300,169,1,371.89,0,Dormant / Low-Value
13301,104,4,618.09,1,Regular Customers
13302,155,1,63.75,0,Dormant / Low-Value
13305,4,9,1864.66,3,High-Value Customers
13307,120,1,15.0,0,Dormant / Low-Value
13308,23,3,1385.51,1,Regular Customers
13309,7,5,1456.79,3,High-Value Customers
13310,28,3,1132.03,1,Regular Customers
13311,4,2,598.57,2,Recent / Developing
13313,22,5,1555.3200000000002,1,Regular Customers
13314,2,3,775.94,2,Recent / Developing
13316,37,4,5732.93,1,Regular Customers
13317,66,4,2035.63,1,Regular Customers
13318,1,3,640.76,2,Recent / Developing
13319,5,22,9294.47,3,High-Value Customers
13320,78,4,1532.2,1,Regular Customers
13321,72,2,567.36,0,Dormant / Low-Value
13322,17,1,199.48000000000002,2,Recent / Developing
13323,3,5,787.85,3,High-Value Customers
13324,36,9,6471.85,3,High-Value Customers
13325,82,1,675.3,0,Dormant / Low-Value
13327,39,6,2882.77,1,Regular Customers
13328,316,1,1308.48,0,Dormant / Low-Value
13329,32,1,484.79999999999995,2,Recent / Developing
13330,93,3,1140.93,1,Regular Customers
13332,14,1,350.90000000000003,2,Recent / Developing
13334,82,3,3502.32,1,Regular Customers
13336,77,1,795.12,0,Dormant / Low-Value
13338,158,1,487.02,0,Dormant / Low-Value
13339,201,1,860.12,0,Dormant / Low-Value
13340,45,7,10736.48,3,High-Value Customers
13341,261,1,775.85,0,Dormant / Low-Value
13343,178,1,353.43,0,Dormant / Low-Value
13344,68,3,2511.69,1,Regular Customers
13345,288,1,389.5,0,Dormant / Low-Value
13347,70,1,341.36,0,Dormant / Low-Value
13348,64,1,233.76000000000002,0,Dormant / Low-Value
13349,11,1,247.32,2,Recent / Developing
13350,16,2,979.12,2,Recent / Developing
13351,66,1,373.94,0,Dormant / Low-Value
13352,60,1,397.98,0,Dormant / Low-Value
13354,71,1,743.53,0,Dormant / Low-Value
13355,122,1,674.7,0,Dormant / Low-Value
13356,80,1,768.24,0,Dormant / Low-Value
13357,257,1,609.4,0,Dormant / Low-Value
13358,269,1,439.03000000000003,0,Dormant / Low-Value
13359,64,1,439.56,0,Dormant / Low-Value
13362,9,4,3090.7400000000002,3,High-Value Customers
13363,18,2,992.5,2,Recent / Developing
13364,71,1,134.96,0,Dormant / Low-Value
13365,34,2,2225.37,1,Regular Customers
13366,50,1,56.16,0,Dormant / Low-Value
13368,257,2,623.4,0,Dormant / Low-Value
13372,90,1,378.64,0,Dormant / Low-Value
13373,61,3,3312.25,1,Regular Customers
13375,89,1,778.65,0,Dormant / Low-Value
13376,99,3,1019.76,1,Regular Customers
13379,26,3,572.56,2,Recent / Developing
13381,32,6,3639.31,1,Regular Customers
13382,281,1,222.99,0,Dormant / Low-Value
13384,31,7,4151.93,3,High-Value Customers
13385,330,1,534.57,0,Dormant / Low-Value
13388,131,2,677.1,0,Dormant / Low-Value
13389,11,3,797.96,2,Recent / Developing
13390,75,1,544.08,0,Dormant / Low-Value
13391,204,1,59.8,0,Dormant / Low-Value
13394,2,8,2520.02,3,High-Value Customers
13395,185,1,307.72,0,Dormant / Low-Value
13396,29,2,1360.99,1,Regular Customers
13397,73,5,1544.13,1,Regular Customers
13398,192,1,457.34000000000003,0,Dormant / Low-Value
13402,127,1,312.95,0,Dormant / Low-Value
13403,18,1,75.0,2,Recent / Developing
13404,1,2,252.49,2,Recent / Developing
13405,74,3,572.451,1,Regular Customers
13408,2,57,25085.84,3,High-Value Customers
13410,24,5,1003.06,1,Regular Customers
13411,107,1,213.55,0,Dormant / Low-Value
13414,134,3,1390.5,1,Regular Customers
13416,44,2,712.5,1,Regular Customers
13417,5,2,640.83,2,Recent / Developing
13418,12,13,4547.81,3,High-Value Customers
13419,64,1,221.06,0,Dormant / Low-Value
13420,150,2,159.85,0,Dormant / Low-Value
13421,40,2,1833.71,1,Regular Customers
13422,64,1,2626.3,1,Regular Customers
13425,108,3,1624.21,1,Regular Customers
13426,1,9,3304.34,3,High-Value Customers
13427,19,3,582.6,2,Recent / Developing
13428,10,1,201.78,2,Recent / Developing
13429,11,4,1006.8,1,Regular Customers
13430,19,2,679.45,2,Recent / Developing
13431,67,2,1269.1,1,Regular Customers
13434,74,2,534.24,0,Dormant / Low-Value
13435,5,7,3809.89,3,High-Value Customers
13436,2,1,196.89,2,Recent / Developing
13437,14,7,3408.06,3,High-Value Customers
13439,255,1,283.71,0,Dormant / Low-Value
13441,92,1,296.64,0,Dormant / Low-Value
13447,23,3,1129.14,1,Regular Customers
13448,17,3,2705.15,1,Regular Customers
13449,24,1,291.88,2,Recent / Developing
13450,27,6,2043.72,1,Regular Customers
13451,26,5,2898.2599999999998,1,Regular Customers
13452,259,2,590.0,0,Dormant / Low-Value
13453,166,2,356.98,0,Dormant / Low-Value
13455,25,1,365.4,2,Recent / Developing
13456,18,6,1766.72,1,Regular Customers
13458,7,13,8460.710000000001,3,High-Value Customers
13460,29,2,183.44,2,Recent / Developing
13461,39,3,1445.0,1,Regular Customers
13462,253,1,151.5,0,Dormant / Low-Value
13464,58,1,674.68,0,Dormant / Low-Value
13466,184,1,307.90000000000003,0,Dormant / Low-Value
13467,11,2,1071.91,2,Recent / Developing
13468,2,33,4793.97,3,High-Value Customers
13470,99,2,165.0,0,Dormant / Low-Value
13471,1,4,2501.84,3,High-Value Customers
13473,61,2,422.64,0,Dormant / Low-Value
13474,236,1,226.84,0,Dormant / Low-Value
13475,191,4,1431.78,1,Regular Customers
13476,179,2,1238.47,1,Regular Customers
13477,38,6,1454.58,1,Regular Customers
13479,201,2,300.95,0,Dormant / Low-Value
13481,46,5,1804.56,1,Regular Customers
13482,232,1,184.64000000000001,0,Dormant / Low-Value
13483,66,1,140.34,0,Dormant / Low-Value
13484,241,1,313.8,0,Dormant / Low-Value
13485,233,1,454.24,0,Dormant / Low-Value
13486,78,3,1122.41,1,Regular Customers
13487,58,2,382.25,0,Dormant / Low-Value
13488,17,12,7586.39,3,High-Value Customers
13489,105,4,449.52,1,Regular Customers
13491,52,8,1019.42,1,Regular Customers
13494,312,1,316.26000000000005,0,Dormant / Low-Value
13495,8,3,1179.44,2,Recent / Developing
13496,11,1,152.32,2,Recent / Developing
13497,283,1,194.55,0,Dormant / Low-Value
13499,18,5,1159.1100000000001,1,Regular Customers
13500,23,3,1166.77,1,Regular Customers
13502,17,3,292.0,2,Recent / Developing
13503,71,1,216.85,0,Dormant / Low-Value
13504,64,1,295.93,0,Dormant / Low-Value
13506,316,1,157.4,0,Dormant / Low-Value
13507,3,4,2479.16,3,High-Value Customers
13508,244,1,110.97,0,Dormant / Low-Value
13509,9,7,979.72,3,High-Value Customers
13510,1,4,1791.56,3,High-Value Customers
13512,261,1,251.21,0,Dormant / Low-Value
13513,127,1,205.1,0,Dormant / Low-Value
13514,74,1,152.20000000000002,0,Dormant / Low-Value
13515,73,4,891.12,1,Regular Customers
13516,21,3,1389.41,1,Regular Customers
13517,60,3,2128.42,1,Regular Customers
13518,86,1,627.16,0,Dormant / Low-Value
13519,78,1,122.75,0,Dormant / Low-Value
13521,1,3,1071.73,2,Recent / Developing
13522,30,1,125.80000000000001,2,Recent / Developing
13523,33,4,3397.93,1,Regular Customers
13524,41,5,680.1800000000001,1,Regular Customers
13525,15,2,628.78,2,Recent / Developing
13527,34,7,2242.36,1,Regular Customers
13529,79,2,307.76,0,Dormant / Low-Value
13531,205,1,178.35,0,Dormant / Low-Value
13532,34,1,210.31,2,Recent / Developing
13533,183,3,269.09,0,Dormant / Low-Value
13534,2,23,5586.88,3,High-Value Customers
13536,1,7,3444.39,3,High-Value Customers
13538,43,7,1280.85,1,Regular Customers
13539,86,3,631.34,1,Regular Customers
13544,40,2,276.06,2,Recent / Developing
13546,12,3,621.09,2,Recent / Developing
13548,96,2,678.16,0,Dormant / Low-Value
13549,26,7,918.2,1,Regular Customers
13551,319,1,91.80000000000001,0,Dormant / Low-Value
13552,66,12,3740.07,3,High-Value Customers
13555,74,4,4098.88,1,Regular Customers
13557,28,2,584.0600000000001,2,Recent / Developing
13558,6,4,594.52,2,Recent / Developing
13560,7,1,171.42000000000002,2,Recent / Developing
13561,216,1,141.85999999999999,0,Dormant / Low-Value
13562,82,3,1799.3300000000002,1,Regular Customers
13563,84,2,777.53,1,Regular Customers
13564,144,1,550.64,0,Dormant / Low-Value
13565,19,2,240.22,2,Recent / Developing
13566,41,2,856.84,1,Regular Customers
13568,173,1,187.05,0,Dormant / Low-Value
13569,17,1,228.8,2,Recent / Developing
13570,243,1,239.49,0,Dormant / Low-Value
13571,13,12,2088.94,3,High-Value Customers
13572,206,1,1384.25,0,Dormant / Low-Value
13573,50,2,290.25,0,Dormant / Low-Value
13575,23,5,732.07,1,Regular Customers
13576,10,17,6368.1900000000005,3,High-Value Customers
13577,25,4,1687.6000000000001,1,Regular Customers
13579,15,1,302.34000000000003,2,Recent / Developing
13581,309,1,118.0,0,Dormant / Low-Value
13583,156,1,781.03,0,Dormant / Low-Value
13584,307,1,142.4,0,Dormant / Low-Value
13587,64,1,712.4,0,Dormant / Low-Value
13588,16,9,2478.95,3,High-Value Customers
13589,15,2,379.65,2,Recent / Developing
13590,11,6,1981.92,3,High-Value Customers
13591,65,3,1117.13,1,Regular Customers
13592,36,4,247.95999999999998,2,Recent / Developing
13593,108,5,2011.88,1,Regular Customers
13594,53,1,396.97,0,Dormant / Low-Value
13596,6,2,664.11,2,Recent / Developing
13598,47,1,160.04,0,Dormant / Low-Value
13599,1,19,4797.08,3,High-Value Customers
13600,312,1,219.52,0,Dormant / Low-Value
13601,45,2,693.32,1,Regular Customers
13602,65,1,428.89,0,Dormant / Low-Value
13603,26,1,164.34,2,Recent / Developing
13606,29,3,276.75,2,Recent / Developing
13607,40,1,675.51,2,Recent / Developing
13610,12,7,1082.33,3,High-Value Customers
13611,89,2,851.25,1,Regular Customers
13614,24,4,1585.46,1,Regular Customers
13615,319,1,417.69,0,Dormant / Low-Value
13617,40,3,544.18,1,Regular Customers
13618,174,1,177.34,0,Dormant / Low-Value
13621,117,1,213.85,0,Dormant / Low-Value
13623,31,5,727.74,1,Regular Customers
13626,253,1,257.23,0,Dormant / Low-Value
13627,59,4,1327.28,1,Regular Customers
13629,23,11,7792.36,3,High-Value Customers
13630,5,7,2031.78,3,High-Value Customers
13631,100,11,3070.42,1,Regular Customers
13632,25,5,2118.93,1,Regular Customers
13634,33,5,1547.3600000000001,1,Regular Customers
13635,68,1,1071.03,0,Dormant / Low-Value
13636,37,5,949.12,1,Regular Customers
13637,52,3,804.3,1,Regular Customers
13638,16,1,122.64,2,Recent / Developing
13639,74,1,1033.34,0,Dormant / Low-Value
13642,216,1,312.28,0,Dormant / Low-Value
13643,31,3,519.44,2,Recent / Developing
13644,16,4,2624.26,1,Regular Customers
13645,120,1,252.1,0,Dormant / Low-Value
13647,10,4,1648.1200000000001,1,Regular Customers
13649,257,1,148.8,0,Dormant / Low-Value
13650,17,6,1836.3400000000001,1,Regular Customers
13651,35,2,94.2,2,Recent / Developing
13652,46,2,786.28,1,Regular Customers
13654,43,6,2707.33,1,Regular Customers
13655,114,2,932.97,1,Regular Customers
13656,165,2,379.65,0,Dormant / Low-Value
13657,11,2,382.14,2,Recent / Developing
13658,10,5,2639.17,3,High-Value Customers
13659,206,2,1563.0,1,Regular Customers
13662,86,3,881.26,1,Regular Customers
13663,179,1,189.47,0,Dormant / Low-Value
13666,60,3,84.65,0,Dormant / Low-Value
13667,149,1,299.05,0,Dormant / Low-Value
13668,3,20,6132.17,3,High-Value Customers
13669,51,2,218.55,0,Dormant / Low-Value
13670,75,1,349.7,0,Dormant / Low-Value
13672,301,2,186.39000000000001,0,Dormant / Low-Value
13673,19,2,387.44,2,Recent / Developing
13675,151,2,486.82000000000005,0,Dormant / Low-Value
13678,152,1,232.6,0,Dormant / Low-Value
13680,1,4,3719.12,3,High-Value Customers
13681,18,4,827.83,1,Regular Customers
13682,187,1,59.5,0,Dormant / Low-Value
13684,286,1,65.13,0,Dormant / Low-Value
13685,3,7,3119.44,3,High-Value Customers
13686,183,1,72.0,0,Dormant / Low-Value
13689,63,1,910.0,0,Dormant / Low-Value
13690,59,1,172.25,0,Dormant / Low-Value
13692,25,3,1488.32,1,Regular Customers
13694,4,48,62142.58,3,High-Value Customers
13695,31,15,2504.13,3,High-Value Customers
13697,39,1,151.3,0,Dormant / Low-Value
13699,155,1,308.58000000000004,0,Dormant / Low-Value
13700,26,10,2248.63,3,High-Value Customers
13703,318,1,99.5,0,Dormant / Low-Value
